Year,Summary,Title and Author,Genre
2001,"Behold! A gentler, more quiet John Adams. The story of his devotion to his wife, Abigail, and hers to him, is the affecting centerpiece of David McCullough’s biography, which uses the large correspondence between the two through several decades with sensitivity and skill. Sustaining that lifelong love affair was not easy; Adams took on political duties that kept him away from home and embroiled in public controversies for much of his life, and McCullough’s praise of him for his stoic sense of duty is appropriate. McCullough’s other purpose is to set a new balance in the public’s assessment of Adams and his contemporary Jefferson. His argument that Adams was the main force behind the declaration of independence by the Continental Congress is one Jefferson himself made, and Adams certainly used diplomacy with remarkable foresight during the Revolutionary War and during his years as president to secure the foundation of this country. Whether this makes Jefferson a lesser figure remains debatable. McCullough’s best gift is his ability to bring such icons to life, and to make us feel the texture of life in the past. That is one reason this book is likely to be argued over by readers for years, for there will always be some who will feel that the historian’s subduing of Adams’s noisy feistiness in this account — his rashness, stubbornness and sometimes bizarre opinions — makes him a little less himself.",John Adams By David Mccullough,"Biography, History"
2001,"The club was a short-lived affair begun in Cambridge, Mass., in 1872, but the ideas espoused by three members and one of their disciples became foundations of American thought in the 20th century. The four men Louis Menand concentrates on are Oliver Wendell Holmes Jr., William James, Charles Sanders Peirce and John Dewey. He argues that Darwin’s “Origin of Species,” published in 1859, and the Civil War swept away the notion that a divine being governs the universe, along with the basic cultural assumptions on which American society, North and South, were based. The new outlook that replaced them was pragmatism, a concept first formed by Peirce in 1872 and turned into an articulated system of thought by James in 1898. Menand characterizes it as a way of thinking, and believing, in a world that is shot through with contingency. Accounting for modern thought cannot be done in terms of four men, of course, and Menand’s cast of characters soon multiplies into scores, some of whom he allows have little connection with his four heroes. The ground he has to cover is vast: legal theory with Holmes, psychology and religion with James, educational development with Dewey, mathematics and philosophy with Peirce. But the large personalities of his principal players let him explain ideas in a series of connected stories that help the reader digest the learning. This approach also gives his thesis a kind of theatrical excitement that no severe intellectual history could engender.",The Metaphysical Club By Louis Menand,History
2001,"As charming as his prose always is, Oliver Sacks cannot write for long without finding a subject outside himself. In his previous books he has been able to turn his findings in neurology into engagements of high literary quality. But a memoir presents him with a challenge of a different order. He has solved it in this account of his early years not only by recreating a very large extended family of highly individual and eccentric adults who fascinated, repelled and inspired him in Britain in the 1930’s and 40’s, but by focusing on his youthful infatuation with chemistry (thus the title; one of his uncles was a leading manufacturer of light bulb filaments and an inspiration to Oliver). Both parents were physicians, his mother a doctor who insisted on teaching him her trade by having him dissect stillborn fetuses despite his squeamish protests. A formidable but vastly amusing aunt made him see the underlying mathematical structure of every natural activity. Another uncle taught him spectroscopy. Such people bring the book to life. But it is most alive when it turns to chemistry and its history. Readers can absorb more information here than they could ever get in a classroom about the composition of matter, including some spectacularly explosive forms, and about the beauty of something as austere as the periodic table of elements — in highly entertaining stories about the discoverers of the science. By the end we also come to understand who Sacks is and how he got that way; he simply emerges from this enchanting company, without pleading or apology.",Uncle Tungsten By Oliver Sacks,Memoir
2000,"There is no hint of paradox in the title of this brief, elegant novel. Jim Crace’s point is that even though in the view of a scientific materialist an individual ends forever at death, for a time being dead is a state of tumultuous life. Celice and Joseph, both zoologists, are dead in the first paragraph, murdered naked in the midst of sexual fulfillment on a salt dune by the sea. Crace then weaves together three strands of narrative to create a startlingly beautiful vision of life. One, backward running, revivifies Joseph and Celice and takes us through their lives in science and their long marriage; though each has often disappointed the other in their 30 years together, in this regressing story losses become hopes and we see that they have never forgotten the electric moments that bound them together, beginning with one on the very dune where they died; they had returned to live their first ecstasy again. Another strand traces the “disassembly and decay” of their bodies through six days, and its precise revelation of the “inert wars of chemicals contesting,” along with the fascinating choreography of whole classes, orders and species of microscopic carrion feeders, is a mesmerizing celebration of the infinite ingenuity of nature. The third strand follows the efforts of the estranged daughter of Celice and Joseph to find out where they’ve disappeared to. What seemed at first to be a determination by Crace to show how ephemeral love is in the face of death turns out to be a splendid revelation that love is an achievement life does not erode or death diminish. For the naturalist as for the believer, there is a peace that passes understanding.",Being Dead By Jim Crace,Fiction
2000,"In the 1980s the editors of “The Norton Anthology of English Literature” asked Seamus Heaney, the most accomplished poet writing in English and a Nobel laureate, to translate “Beowulf,” the English tradition’s first great epic, which so dramatically — in terms of monsters and dragons — presents the human being’s experience of life as an expanding series of challenges by the unknown that bring us ineffable strength and wisdom before we die. Heaney, who grew up Roman Catholic in Northern Ireland, for 40 years has been one of the most subtle and profound witnesses to the violence and anguish of the political, religious and social struggles in his country and acknowledges a brooding resentment that for centuries the English, who conquered Ireland, suppressed its rich Gaelic poetic tradition, so different from that of the English language. In fact, “Beowulf,” in which conquest and colonizing are dominant themes, may contain in its language a record of conquest, the history of which is now lost to us. In this edition of the translation that first appeared in the anthology, Heaney writes an introduction explaining that he decided to give the poem the voice of Northern Irish men he’d grown up with, making his work as translator a wrestling with the great poem as a personal recapitulation of the whole Irish struggle. That battle is palpable here; he has achieved a faithful rendering of the epic that is also an original, captivating poem in its own right. As our language changes, translations get dated; Heaney’s poem stands a much better chance of a long life.",Beowulf: A New Verse Translation By Seamus Heaney,Poetry
2000,"She is too loving and, perhaps more dangerously, too lovable, the young woman in John Updike’s novel, whose father offers her, against her wishes, to the older warrior king he admires. But she learns to love her husband, and loves her son too uncritically, turning him into a self-centered brat with a poisonous mouth. In middle age she remains what she had always been, but more amply, more open and warm. Which is perhaps why her husband’s brother, quick-witted, subtle and daring, intuits his chance with her and takes it, sparking a white-hot anger in the phlegmatic warrior that the brother realizes can be doused only by the murder of the older man. After that the brother can marry the woman. There is stunning luxury here, not all of it, as the son thinks, in sinful sheets. Updike’s language is as rich as any Elizabethan’s, and as sensuous as any he has ever written, when he conjures up this woman in love. His evocation of the palaces, feasts and royal excursions, and especially of the woman’s clothes, have the opulence of a late medieval Burgundian book of hours, a reminder that art was Updike’s first trade. But he is cunning. These people are, of course, Queen Gertrude, her two husbands and her son Hamlet, and this gorgeous entertainment is a sapper’s tool undermining the play in which we think we know them. To construct his story Updike uses the same chronicle Shakespeare’s source relied on, and “Gertrude and Claudius” ends just as the play begins. You will never again understand “Hamlet” the same way or think of the brooding prince without a shudder of revulsion. Orestes, you had better watch out!",Gertrude And Claudius By John Updike,Fiction
2000,"Coleman Silk, the central character in Philip Roth’s new novel, may be the most interesting person Roth has ever invented — a black man of such light hue that he decided simply to pass for white, left his entire family behind and went into the world as a Jew who became a distinguished classicist. But at the height of his career, one day in a lecture he mentioned “spooks,” meaning ghosts, and found himself denounced as a racist and forced to resign. Deeply embittered, he turned to his old friend Nathan Zuckerman, Roth’s alter mind (not alter ego, he insists), for help in writing a book. Zuckerman does not help him write, but he discovers Silk’s whole story and finds out too late the strange retribution lying in wait for Silk: he has been marked for death by a rabid anti-Semite. “The Human Stain” is part of a loose trilogy that started with “American Pastoral” in 1997 and “I Married a Communist” in 1998. It is the least finished novel of the three, but in many ways the most powerful. Now and then it stops to let us watch Roth ride his hobby horses, which is not great sport. But when Zuckerman and Silk are together and testing each other, Roth’s writing reaches an emotional intensity and a vividness not exceeded in any of his books. The American dream of starting over entirely new has the force of inevitability here, and Roth’s judgment clearly is that you can never make it all the way. There is no comfort in this vision, but the tranquillity Zuckerman achieves as he tells the story is infectious, and that is a certain reward.",Human Stain By Philip Roth,Fiction
2000,"Here is a perfect John Rocker Christmas gift — a sunny celebration of the mixed races multiplying out of control everywhere and shaping the future of the crowded world. In Zadie Smith’s magnificent first novel they are found in a North London neighborhood teeming with immigrants from India, the Caribbean and Asia in various stages and generations of assimilation, along with spongy British liberals floating like leaves in the swirling winds of all this hopeful energy. The story is centered on members of two families, one British and one Bengali, all of whom are a bit ridiculous in their own ways, as are all the other characters who pop up in this raucous book. Smith uses the methods of satire, but “White Teeth” is not satire; Smith loves these people and makes us laugh with them more than at them. Their passion for belonging, while at the same time escaping the cultures their families are rooted in, could easily be reduced to ridicule or pathos. But here the conflicting impulses amount to a kind of civic virtue as these people pull together to remake England into a patchwork and pleasant land. Smith has been compared to Salman Rushdie, but her lightness and humility are all her own; her art is one of glances and smiles, not arm-wrestling. Above all, her ear is miraculously attuned to the voices of different races, generations and dispositions. There is no mediation here; they speak directly to us, with personal urgency.",White Teeth By Zadie Smith,Fiction
2000,"The genetic information in each human being is a book of three billion characters of text written into molecules of DNA, and a book of startling surprises it is. Each of us can find in ourselves, for instance, an echo of a tiny protolife form that existed for only a moment four billion years ago and gave rise to all living things; and we can also find the scars of battle on the genes our mothers and fathers transmitted to us in conception. The discovery that so much precise history over inconceivable stretches of time is encapsulated in the 23 chromosomes we all have has shattered the philosophical foundations of biology and given rise to ethical debates that are bound to reshape politics in the years ahead. Until now most books written about the genome have been technical or scientific, often needlessly difficult. Matt Ridley’s book is a jargon-free excursion of intellectual discovery that will carry any reader along its tour of exciting, often delightful, stories structured to help us understand in everyday terms, and to remember, the revelations about genetic evolution that have come to light in the last few decades. It also makes us see the enormous social and political consequences of that knowledge. That kind of understanding is most important in the end, since Ridley argues that the use of personal genetics cannot be left to scientists, doctors or governments, but must be determined by each person.",Genome By Matt Ridley,Science
2000,"When Dave Eggers was 21 both of his parents died within 32 days, leaving him the accidental parent of his 8-year-old brother. He sold the family’s suburban Chicago home, and the two set out for San Francisco for a life that he says was a “campaign of distraction” and “magic tricks.” One might say those phrases describe his memoir, but he has a serious purpose here. Medical advances and a national addiction to avoiding the dark side of life have made a personal experience like his rare to people of his generation, which has also developed what Eggers calls a “fog” of irony, self-consciousness and pop-cultural jargon to protect itself against having to confront the unthinkable. When Eggers and his brother arrived in San Francisco, he established a magazine written almost entirely in that kind of language, and he knows it deep inside. The fog is all over his memoir, from the self-mocking title right through. But he uses it to tell his contemporaries with considerable power about the sense of injustice and the rage that hammered him when his parents died, and he argues, not theoretically since he seems to know no theory, that experiencing the unthinkable, while it brings terror and a sorrow that is unspeakable, is also the source of a liberation into a world of responsibility that is unimaginably exhilarating. People unaccustomed to the contrived and jokey language of the Gen Xers may find his book exasperating at times, but the extraordinary understanding and perception that the shock of life have given him come through clearly, and the book is the best expression of his sense of responsibility.",A Heartbreaking Work Of Staggering Genius By Dave Eggers,Nonfiction
2000,"In what is becoming a very noisy debate as young Israeli historians challenge the patriotic narratives that have governed the country’s history for 50 years, the voice of Tom Segev, a newspaper columnist who was trained in history in the United States, is cool, slightly aloof and highly effective. In what is probably the best overall history of the period when Britain ruled the Holy Land under League of Nations mandate, Segev argues that the mandate was the most important factor in the formation of the Jewish state, that the British nurtured a culture of government in the small Jewish population they found there, and that the Holocaust was not the major impulse toward the establishment of Israel, having in fact deprived Zionists of the great Jewish migration they had hoped for. Furthermore, his book is the only one to analyze the mandate period from all three perspectives — British, Arab and Jewish. Because its argument is moved along by people who were not the great policy makers, but Arabs and Jews living in Palestine and the British working there, it makes a powerful case that the bitter warfare that developed when the mandate ended, war that sometimes seems to have no end, was not a necessary or natural outcome. Segev’s aloofness can make him sound arrogant at times, and because he avoids analyzing the policies and strategies underlying modern Israel his history lacks a fundamental dimension. But the personal histories he evokes — especially those of an Arab intellectual and a Jewish businessman and poet who were deep friends until events divided them — expose large and probably dangerous holes in the received accounts of how Israel came to be.","One Palestine, Complete By Tom Segev",History
2000,"Arthur Rimbaud stopped writing verse before he was 20, and bothered to publish only one volume of his work before he died at 37. Yet for a century biographies have sprung up by the score, idolizing him as a symbolist, surrealist, criminal, prophet — whatever, depending on the predilections of the biographers. There was a lot to fantasize about: Rimbaud stunned the Paris literary world as a boy, with dazzling verse forms containing poetry no one comprehended; there was the delicious scandal of his teenage affair with the married poet Paul Verlaine, which ended with Verlaine shooting him in the wrist; and there was the mysterious second half of his life as an explorer in Africa, which fed romantic myths at home for generations. Graham Robb, whose biographies of Balzac in 1994 and Victor Hugo in 1997 are triumphs of scholarship, now produces the best biography of Rimbaud. Drawing together a vast amount of information about Rimbaud that was quietly discovered by others in recent decades, he blows away a lot of the speculation. “I have tried to let Rimbaud grow up,” he says. He succeeds. This Rimbaud is not a great poet — Robb says several times that he did serious damage to French literature. But the reality Robb reveals has to make us marvel at the distorted imaginations of Rimbaud’s idolizers; Robb’s contempt for the academics among them produces some of his most enjoyable paragraphs.",Rimbaud By Graham Robb,Biography
2000,"In her new book Frances FitzGerald explains Ronald Reagan’s Strategic Defense Initiative (Star Wars) better than anyone ever has. Not to worry; you will comprehend the technology but not the thing itself. One of her points is that no one ever did — not its scientific champions, not its Congressional promoters and certainly not Reagan, who didn’t try to understand. The fact that through the long struggle over this last cold-war ploy Reagan was out there in another space altogether is what makes this book so gripping. It is the best look to date at the internecine wars of the Reagan administration. The combat between Secretary of State George Shultz (he’s the good guy) and Caspar Weinberger, the Secretary of Defense, over American strategy in dealing with the Soviet Union is brought to life the way good novels are: through surprising, and sometimes appalling, evocations of the personalities of these men and of the defense industry lobbyists, bureaucrats and freelance policy outriders attached to them. Eventually Reagan stopped mentioning Star Wars and tentatively — he never wholeheartedly supported anyone — sided with Shultz as the Soviet Union began to crumble. But here is the sting in the tail of FitzGerald’s book: Star Wars never went away. Its only true believers — the bureaucrats and defense industry spooks — have kept it going right through the end of the Clinton administration and into the next one, the most expensive research program ever undertaken by this country. To what end? Well, we haven’t seen any missiles falling on us — yet.","Way Out There In The Blue: Reagan, Star Wars And The End Of The Cold War By Frances Fitzgerald","Biography, History"
